# comment
# here
Date / Time	Easting	Northing	Depth
%d/%m/%Y %H:%M:%OS	m	NA	m
06/01/2001 01:01:59.000	727972.52	4138308.65	3.12
06/01/2001 01:01:59.200	727972.51	4138308.68	3.12
06/01/2001 01:01:59.400	727972.50	4138308.72	3.17
06/01/2001 01:01:59.600	727972.49	4138308.75	3.17
06/01/2001 01:01:59.800	727972.47	4138308.78	3.12
06/01/2001 01:02:00.000	727972.46	4138308.81	3.12
06/01/2001 01:02:00.167	727972.46	4138308.84	3.12
06/01/2001 01:02:00.333	727972.46	4138308.86	3.12
06/01/2001 01:02:00.500	727972.46	4138308.89	3.23
06/01/2001 01:02:00.667	727972.46	4138308.92	3.15
06/01/2001 01:02:00.833	727972.46	4138308.94	3.15 # dog
06/01/2001 01:02:01.000	727972.46	4138308.97	3.18
06/01/2001 01:02:01.167	727972.45	4138309.00	3.12
06/01/2001 01:02:01.333	727972.44	4138309.03
06/01/2001 01:02:01.500	727972.43	4138309.05	3.12

# what about this

06/01/2001 01:02:01.667	727972.42	4138309.08	3.12
06/0 01:0201.833	727972.41	4138309.11	3.12
06/01/2001 01:02:02.000	727972.41	4138309.14	3.12
06/01/2001 01:02:02.167	727972.40	4138309.15	3.20
NA	727972.39	4138309.16	3.15
06/01/2001 01:02:02.500	727972.39	4138309.17	3.23
06/01/2001 01:02:02.667	727972.38	4138309.18	3.18
06/01/2001 01:02:02.833	727972.38	4138309.19	3.17
06/01/2001 01:02:03.000	727972.37	4138309.20	3.20
06/01/2001 01:02:03.167	727972.36	4138309.22	3.23
06/01/2001 01:02:03.333	727972.35	4138309.24	3.20
