Date-Time	X	Y	Z
%Y-%m-%d %H:%M:%OS	m	m	m
2009-04-24 10:43:38.275	 7.8	-2.3	-0.2650
2009-04-24 11:20:43.757	 5.0	-4.7	-0.3790
2009-04-24 12:08:31.895	 2.2	-2.2	-0.7200
2009-04-24 12:50:59.417	 3.7	-2.3	-0.7430
2009-04-24 13:50:55.678	-1.4	-3.4	-0.1230
2009-04-24 14:24:09.533	-1.6	 2.6	 0.0430
2009-04-24 14:44:55.005	-7.5	 5.6	 0.6070
2009-04-24 14:59:21.473	 9.3	-6.0	 0.3720
2009-04-24 15:20:20.801	-8.8	 5.3	 0.6080
2009-04-24 16:16:51.796	-2.0	 1.0	     NA
2009-04-24 17:01:41.536	 5.0	 1.8	     NA
2009-04-24 17:56:59.076	-5.4	 9.4	 0.8790
2009-04-24 18:19:44.995	 6.8	-4.0	-0.4410
2009-04-24 19:15:50.864	 7.7	 8.3	-0.1510
2009-04-24 19:45:25.363	-8.3	 6.1	-0.1170
2009-04-24 19:53:34.840	-1.2	-3.2	 0.0290
2009-04-24 20:45:22.943	 0.8	-9.8	 0.6970
2009-04-24 21:39:07.240	-8.8	-1.0	 0.7130
2009-04-24 22:30:37.251	-3.6	 2.7	-0.1960
2009-04-24 22:21:15.071	 7.5	-7.2	-0.1990
2009-04-24 23:18:40.804	 4.9	 2.4	-0.1570
2009-04-24 23:44:37.101	-0.9	 0.0	-0.7190
2009-04-24 23:48:00.063	-7.2	-2.7	-0.8540
2009-04-25 00:09:51.962	-3.9	-9.9	 0.2790
2009-04-25 00:42:30.875	-3.7	 9.4	 0.5600
2009-04-25 01:17:21.003	-5.4	 2.2	 0.2880
2009-04-25 02:12:06.381	-4.2	-1.5	-0.5260
2009-04-25 03:03:13.323	-0.3	 5.7	-0.2970
2009-04-25 03:52:08.510	-7.8	-9.7	-0.8250
2009-04-25 04:05:20.077	 2.4	 9.4	 0.1380
2009-04-25 04:10:15.859	 9.3	-5.1	-0.2370
2009-04-25 04:58:51.691	-9.6	 2.5	 0.8300
2009-04-25 05:15:53.686	-7.0	 3.6	-0.3780
2009-04-25 06:04:33.010	 6.8	-1.5	-0.3090
2009-04-25 06:40:34.286	-7.9	-8.7	 0.9590
2009-04-25 07:05:37.378	 6.7	-3.8	-0.7750
2009-04-25 07:24:19.618	-1.8	-6.9	 0.6580
2009-04-25 08:03:52.217	-1.3	 1.4	-0.5470
2009-04-25 08:09:41.657	-1.5	-8.3	-0.8500
2009-04-25 08:35:22.517	 6.0	-2.5	 0.3700
2009-04-25 08:39:20.534	 3.4	-3.1	-0.5440
2009-04-25 08:55:21.092	 1.1	 9.4	     NA
2009-04-25 09:24:41.251	-5.2	-8.6	 0.3440
2009-04-25 09:42:09.783	-2.3	 4.1	-0.2950
2009-04-25 09:46:10.985	 8.1	-0.6	 0.4750
2009-04-25 10:37:18.072	 7.5	 5.7	 0.6190
2009-04-25 10:42:39.837	-1.4	 0.0	 0.0790
2009-04-25 11:41:31.422	 5.8	-6.6	 0.0710
2009-04-25 12:25:57.345	 1.5	-5.0	-0.9080
2009-04-25 12:47:29.430	-6.4	-7.3	-0.7120
